,Values of area
516,236786
517,137344
518,974224
519,320008
520,509600
521,1783
522,409875
523,364588
524,635801
525,445577
526,489203
527,17383
528,305699
529,881462
530,306220
531,126229
532,609474
533,250537
534,169838
535,73506
536,583669
537,662733
538,2105
539,302878
540,575565
541,467973
542,408630
543,708885
544,378175
545,201231
546,412864
547,409411
548,759883
549,224796
550,494024
551,803466
552,839570
553,121756
554,196113
555,763908
556,344962
557,44056
558,268397
559,505003
560,740716
561,297733
562,295910
563,559673
564,850063
565,558109
566,694516
567,908502
568,95535
569,345984
570,649829
571,162063
572,376100
573,703054
574,610341
575,130459
576,622015
577,371371
578,923489
579,693223
580,134956
581,97835
582,583497
583,661753
584,144527
585,498332
586,166432
587,511915
588,961654
589,765154
590,578981
591,241799
592,333591
593,458594
594,121857
595,67943
596,138811
597,70632
598,441110
599,508328
600,587478
601,356468
602,977249
603,836545
604,639216
605,7855
606,383325
607,254757
608,949416
609,799955
610,706938
611,478798
612,743175
613,773483
614,191361
615,789242
616,519714
617,112851
618,962775
619,300638
620,829019
621,133845
622,325028
623,829594
624,892389
625,532747
626,767811
627,749966
628,181274
629,308136
630,961605
631,644746
632,290096
633,597163
634,657631
635,508797
636,156064
637,294886
638,460476
639,763483
640,880983
641,442857
642,730224
643,393543
644,999275
645,255619
646,100770
647,749249
648,725626
649,919197
650,52025
651,748755
652,467255
653,975198
654,741412
655,21608
656,482533
657,752143
658,738161
659,259092
660,433255
661,198374
662,452205
663,489758
664,59940
665,927793
666,553382
667,470144
668,190773
669,806054
670,319994
671,760193
672,25813
673,636588
674,23693
675,626494
676,169225
677,449967
678,569296
679,34481
680,632480
681,493523
682,273550
683,881975
684,562181
685,33639
686,742354
687,41214
688,382636
689,478063
690,628912
691,793515
692,760704
693,180038
694,405950
695,78134
696,462426
697,664517
698,37530
699,229074
700,984821
701,124637
702,605403
703,972888
704,100058
705,651061
706,682828
707,131884
708,770386
709,419158
710,556270
711,413211
712,53412
713,534336
714,773406
715,665660
716,891191
717,934031
718,794881
719,668444
720,707689
721,322859
722,595857
723,491815
724,660091
725,51216
726,964692
727,428218
728,558102
729,642493
730,137453
731,753874
732,79155
733,501488
734,481124
735,515680
736,424749
737,869548
738,798465
739,730187
740,865833
741,860341
742,552474
743,667673
744,487055
745,445096
746,738028
747,457398
748,578049
749,485718
750,270506
751,428749
752,470252
753,505329
754,394854
755,80225
756,418803
757,401696
758,758756
759,760752
760,128817
761,544703
762,713773
763,505383
764,74458
765,764187
766,757479
767,394441
768,369638
769,922984
770,501628
771,629082
772,29326
773,945442
774,320362
775,123074
776,32718
777,404986
778,514190
779,438658
780,850142
781,357719
782,318660
783,396388
784,523500
785,262140
786,744789
787,573144
788,575584
789,433728
790,772374
791,506912
792,116560
793,996088
794,105019
795,592544
796,684602
797,654505
798,733859
799,967634
800,67998
801,403553
802,234367
803,116355
804,837596
805,561723
806,276979
807,578839
808,191837
809,188718
810,676491
811,22286
812,272167
813,26562
814,616108
815,190852
816,355437
817,714878
818,854511
819,704772
820,814912
821,63433
822,11079
823,812283
824,63059
825,260391
826,654922
827,996361
828,979126
829,440702
830,721660
831,621231
832,289145
833,405417
834,76114
835,734497
836,142586
837,35615
838,25692
839,316105
840,395683
841,998642
842,684517
843,898835
844,731349
845,158808
846,913975
847,328996
848,175863
849,194156
850,896505
851,539064
852,17555
853,8291
854,694962
855,690789
856,643462
857,241283
858,491917
859,767432
860,909738
861,576806
862,445273
863,825116
864,447033
865,80289
866,708506
867,841453
868,819097
869,989976
870,739798
871,474699
872,867900
873,593556
874,512217
875,816817
876,463806
877,353854
878,502328
879,219512
880,213345
881,231992
882,333785
883,70051
884,867434
885,287517
886,519031
887,839806
888,852102
889,3915
890,918779
891,786306
892,318319
893,580048
894,806006
895,242770
896,591461
897,487980
898,54390
899,546690
900,6558
901,904977
902,38114
903,533549
904,482147
905,34535
906,138000
907,956776
908,821810
909,426890
910,531762
911,922176
912,372215
913,113141
914,559277
915,826825
916,453129
917,120239
918,782128
919,627135
920,579365
921,581231
922,736256
923,942716
924,764759
925,272765
926,892217
927,144431
928,815639
929,968058
930,952327
931,953933
932,812054
933,715469
934,81681
935,687490
936,674441
937,795434
938,773961
939,16368
940,816053
941,405612
942,811365
943,343507
944,679872
945,33572
946,651183
947,44202
948,864055
949,41352
950,914361
951,708894
952,567861
953,142172
954,530062
955,652520
956,422842
957,677839
958,940008
959,545141
960,526888
961,659841
962,355068
963,13103
964,150716
965,337243
966,988522
967,85510
968,217962
969,670452
970,962386
971,644327
972,830637
973,789068
974,6771
975,535596
976,133277
977,811697
978,948298
979,626218
980,738940
981,184924
982,683878
983,674570
984,276600
985,811097
986,441381
987,119146
988,101068
989,42091
990,161803
991,212151
992,586747
993,408032
994,62356
995,58620
996,455919
997,216727
998,970034
999,300349
1000,243459
1001,939743
1002,368925
1003,371380
1004,875698
1005,774013
1006,472491
1007,132427
1008,472270
1009,406540
1010,65160
1011,648293
1012,869445
1013,436605
1014,679172
1015,872395
1016,62503
1017,79418
1018,519577
1019,832662
1020,51162
1021,306159
1022,935506
1023,810758
1024,913174
1025,296671
1026,161057
1027,5440
1028,728994
1029,835077
1030,991695
1031,384183
1032,754516
1033,169415
1034,576523
1035,618207
1036,579712
1037,886594
1038,455751
1039,336252
1040,173643
1041,763435
1042,31648
1043,596099
1044,981237
1045,937178
1046,184847
1047,934286
1048,69176
1049,536012
1050,46476
1051,28709
1052,815579
1053,899980
1054,182296
1055,479017
1056,479535
1057,928970
1058,829003
1059,272674
1060,347499
1061,741596
1062,598212
1063,142919
1064,961190
1065,515584
1066,369353
1067,664609
1068,369376
1069,126205
1070,334548
1071,544431
1072,345520
1073,84700
1074,487881
1075,305894
1076,523690
1077,379477
1078,294835
1079,776557
1080,145517
1081,939620
1082,763379
1083,299810
1084,31498
1085,238397
1086,582883
1087,325281
1088,595698
1089,171667
1090,32655
1091,22578
1092,64574
1093,499096
1094,376180
1095,14100
1096,459382
1097,508958
1098,445226
1099,835378
1100,180172
1101,574172
1102,39894
1103,142584
1104,826769
1105,261862
1106,71671
1107,692235
1108,383385
1109,292950
1110,574338
1111,636119
1112,465211
1113,113634
1114,323825
1115,567354
1116,132972
1117,699993
1118,817794
1119,757878
1120,59980
1121,901582
1122,902523
1123,681599
1124,808416
1125,719783
1126,502343
1127,300987
1128,636738
1129,536794
1130,33127
1131,663134
1132,493709
1133,566266
1134,643312
1135,674580
1136,754354
1137,398750
1138,932991
1139,117388
1140,201283
1141,156708
1142,774160
1143,59553
1144,85441
1145,178406
1146,936447
1147,445136
1148,122657
1149,63130
1150,568456
1151,179607
1152,667363
1153,144238
1154,969360
1155,53263
1156,621659
1157,589952
1158,717098
1159,978995
1160,303202
1161,980953
1162,983422
1163,401032
1164,575843
1165,815013
1166,393430
1167,253026
1168,62697
1169,339744
1170,891385
1171,839608
1172,700660
1173,579034
1174,691933
1175,808551
1176,3054
1177,721622
1178,532616
1179,383771
1180,473204
1181,617983
1182,723349
1183,368874
1184,58360
1185,650872
1186,268402
1187,674192
1188,559365
1189,57205
1190,756557
1191,930733
1192,859880
1193,597282
1194,606900
1195,126183
1196,248460
1197,751074
1198,25113
1199,833088
1200,944738
1201,834226
1202,955440
1203,9756
1204,473776
1205,620037
1206,376713
1207,851160
1208,435606
1209,611551
1210,705222
1211,603489
1212,137261
1213,969768
1214,957563
1215,296513
1216,962082
1217,499828
1218,808518
1219,867824
1220,111431
1221,631049
1222,755399
1223,827633
1224,399573
1225,855690
1226,62184
1227,681424
1228,341736
1229,594893
1230,779800
1231,797219
1232,141961
1233,175966
1234,865960
1235,917965
1236,947177
1237,294559
1238,107310
1239,707865
1240,757227
1241,845803
1242,923891
1243,630874
1244,594888
1245,806199
1246,653475
1247,353163
1248,767791
1249,535273
1250,187541
1251,344279
1252,681050
1253,39224
1254,965629
1255,686485
1256,310421
1257,72790
1258,381901
1259,726514
1260,289328
1261,519085
1262,337169
1263,376600
1264,55817
1265,727620
1266,765087
1267,849317
1268,592685
1269,972889
1270,663042
1271,218904
1272,694459
1273,463662
1274,114355
1275,164255
1276,553811
1277,18243
1278,809086
1279,247155
1280,347400
1281,428015
1282,426138
1283,975470
1284,297207
1285,173447
1286,496693
1287,66704
1288,910229
1289,880111
1290,422634
1291,970522
1292,646273
1293,64888
1294,249512
1295,924693
1296,862948
1297,769825
1298,811119
1299,508972
1300,577201
1301,671089
1302,341492
1303,955084
1304,738744
1305,75128
1306,526669
1307,533432
1308,24798
1309,31850
1310,409661
1311,213301
1312,114222
1313,726861
1314,763463
1315,95737
1316,54464
1317,771818
1318,120271
1319,460519
1320,448966
1321,919404
1322,385806
1323,3299
1324,355626
1325,760749
1326,290155
1327,489293
1328,879316
1329,463751
1330,128622
1331,904178
1332,849426
1333,115666
1334,391250
1335,599832
1336,381471
1337,497960
1338,863984
1339,937194
1340,827550
1341,612567
1342,151812
1343,767057
1344,891515
1345,21021
1346,981183
1347,329871
1348,358344
1349,299074
1350,494004
1351,864724
1352,778339
1353,263153
1354,679719
1355,735550
1356,1218
1357,414595
1358,487364
1359,260327
1360,143081
1361,25256
1362,951446
1363,7938
1364,368581
1365,617455
1366,352262
1367,800411
1368,290962
1369,776651
1370,587853
1371,342829
1372,414394
1373,56726
1374,955980
1375,776333
1376,311348
1377,326043
1378,416993
1379,75477
1380,870839
1381,321013
1382,856311
1383,166707
1384,380541
1385,203661
1386,134100
1387,853954
1388,45144
1389,206990
1390,208560
1391,798057
1392,796120
1393,731225
1394,336682
1395,261155
1396,521420
1397,89688
1398,891172
1399,297385
1400,122380
1401,333356
1402,237450
1403,588692
1404,368787
1405,738351
1406,356832
1407,870661
1408,752547
1409,882996
1410,26987
1411,861184
1412,889279
1413,99651
1414,603938
1415,691994
1416,796197
1417,794210
1418,273576
1419,68890
1420,904969
1421,353207
1422,486863
1423,40655
1424,731246
1425,636876
1426,405694
1427,767170
1428,402342
1429,549993
1430,259580
1431,554349
1432,910564
1433,513414
1434,103691
1435,582254
1436,792212
1437,777962
1438,754036
1439,85756
1440,922010
1441,435128
1442,377039
1443,273893
1444,620332
1445,443536
1446,941102
1447,867490
1448,276598
1449,32589
1450,96573
1451,429367
1452,785181
1453,312800
1454,120113
1455,881751
1456,186182
1457,457019
1458,528606
1459,676035
1460,94328
1461,140428
1462,463951
1463,191901
1464,525398
1465,467598
1466,158381
1467,695744
1468,897313
1469,334065
1470,583236
1471,886693
1472,227520
1473,554246
1474,292609
1475,798781
1476,592894
1477,136531
1478,254377
1479,737283
1480,315008
1481,165191
1482,55195
1483,996319
1484,855506
1485,887358
1486,646800
1487,797061
1488,106336
1489,324100
1490,413385
1491,14415
1492,760173
1493,833499
1494,362953
1495,36876
1496,474518
1497,509283
1498,139768
1499,261736
1500,451398
1501,453425
1502,903693
1503,309800
1504,81423
1505,274809
1506,708916
1507,784169
1508,739219
1509,660901
1510,918184
1511,525697
1512,205141
1513,472509
1514,696905
1515,64730
1516,653541
1517,315046
1518,605532
1519,14939
1520,381095
1521,384156
1522,255756
1523,71235
1524,830890
1525,809381
1526,328743
1527,679414
1528,552709
1529,82707
1530,632105
1531,113176
1532,895357
1533,223152
1534,229439
1535,215858
1536,919765
1537,427749
1538,987630
1539,69055
1540,47602
1541,155443
1542,876165
1543,252212
1544,675653
1545,339506
1546,955807
1547,343955
1548,438794
1549,251004
1550,364985
1551,581132
1552,847366
1553,297717
1554,837637
1555,41205
1556,296016
1557,709895
1558,176487
1559,872033
1560,970490
1561,506414
1562,304727
1563,732526
1564,610394
1565,68348
1566,756996
1567,981975
1568,776331
1569,132702
1570,941866
1571,241211
1572,732594
1573,353395
1574,752305
1575,386369
1576,471977
1577,715579
1578,413512
1579,636548
1580,846437
1581,43274
1582,75991
1583,979859
1584,455155
1585,625907
1586,376391
1587,611889
1588,877614
1589,294631
1590,71790
1591,362817
1592,62914
1593,931866
1594,345010
1595,268959
1596,814727
1597,271143
1598,665301
1599,906361
1600,403831
1601,492932
1602,282800
1603,163689
1604,942703
1605,727960
1606,576884
1607,545391
1608,496273
1609,696004
1610,753933
1611,703521
1612,931028
1613,701622
1614,689224
1615,226387
1616,116606
1617,399190
1618,464656
1619,340301
1620,516609
1621,607856
1622,83107
1623,301893
1624,428798
1625,925737
1626,756923
1627,774207
1628,377678
1629,767043
1630,921548
1631,925708
1632,499746
1633,906636
1634,66462
1635,892091
1636,536537
1637,787414
1638,690182
1639,281629
1640,918524
1641,170568
1642,188754
1643,373425
1644,637588
1645,937632
1646,666406
1647,888147
1648,178960
1649,81290
1650,774127
1651,692840
1652,979521
1653,476717
1654,493644
1655,506617
1656,902754
1657,93979
1658,627048
1659,160708
1660,577770
1661,489686
1662,355379
1663,177436
1664,329043
1665,327022
1666,99335
1667,756194
1668,487373
1669,61462
1670,936102
1671,220274
1672,303079
1673,888120
1674,248915
1675,181335
1676,269903
1677,113716
1678,687790
1679,139203
1680,691460
1681,470482
1682,238773
1683,136526
1684,937482
1685,19941
1686,852245
1687,110753
1688,841365
1689,846536
1690,274281
1691,518728
1692,305034
1693,569667
1694,231472
1695,41371
1696,648813
1697,167757
1698,676665
1699,991015
1700,488611
1701,266888
1702,346639
1703,909961
1704,192801
1705,206743
1706,427529
1707,907510
1708,129111
1709,475842
1710,106460
1711,190757
1712,932405
1713,214734
1714,736747
1715,599735
1716,867780
1717,78576
1718,818734
1719,792348
1720,627818
1721,385270
1722,74303
1723,569988
1724,547220
1725,282574
1726,252722
1727,941511
1728,218497
1729,682743
1730,937068
1731,814676
1732,619916
1733,477995
1734,751071
1735,678723
1736,660668
1737,923199
1738,888782
1739,856269
1740,309035
1741,987874
1742,361038
1743,320538
1744,109496
1745,471425
1746,558811
1747,887948
1748,383876
1749,90831
1750,886509
1751,556518
1752,206446
1753,755479
1754,663228
1755,930332
1756,905691
1757,724345
1758,923386
1759,486510
1760,346517
1761,339856
1762,488440
1763,570534
1764,505330
1765,682835
1766,529867
1767,331937
1768,97807
1769,834271
1770,222274
1771,563922
1772,454301
1773,150670
1774,196336
1775,149714
1776,468608
1777,577672
1778,414170
1779,942437
1780,886425
1781,287426
1782,285803
1783,885582
1784,950609
1785,18338
1786,222782
1787,148198
1788,311592
1789,81049
1790,538526
1791,921098
1792,91536
1793,160824
1794,171930
1795,349154
1796,63353
1797,271118
1798,214785
1799,459164
1800,504455
1801,612328
1802,915665
1803,763089
1804,20563
1805,735594
1806,897754
1807,733047
1808,748000
1809,928830
1810,804188
1811,285193
1812,958535
1813,353454
1814,672138
1815,699143
1816,238991
1817,615910
1818,129790
1819,983054
1820,737326
1821,707147
1822,657328
1823,344591
1824,695848
1825,72945
1826,932534
1827,626283
1828,911964
1829,175076
1830,714338
1831,86025
1832,219609
1833,493584
1834,594061
1835,698118
1836,850291
1837,941022
1838,538009
1839,470718
1840,973237
1841,910673
1842,178676
1843,235900
1844,386820
1845,54826
1846,551077
1847,270500
1848,581804
1849,833133
1850,421512
1851,30056
1852,650427
1853,50901
1854,828257
1855,996900
1856,314672
1857,842556
1858,839525
1859,659608
1860,555778
1861,709795
1862,521251
1863,910986
1864,770500
1865,52630
1866,258393
1867,415367
1868,889258
1869,985181
1870,594411
1871,364113
1872,100422
1873,870532
1874,364300
1875,483784
1876,335624
1877,302317
1878,425331
1879,549889
1880,3914
1881,637312
1882,537592
1883,745388
1884,529740
1885,450289
1886,331655
1887,687223
1888,270301
1889,281981
1890,941305
1891,87141
1892,471507
1893,102828
1894,237527
1895,926671
1896,11614
1897,62638
1898,172610
1899,44342
1900,652369
1901,551088
1902,895798
1903,212798
1904,314492
1905,957607
1906,452806
1907,973614
1908,490518
1909,65565
1910,777332
1911,870323
1912,533397
1913,191197
1914,911925
1915,969280
1916,449067
1917,758431
1918,991770
1919,724793
1920,144949
1921,142963
1922,817047
1923,850525
1924,865010
1925,22492
1926,551328
1927,913343
1928,869903
1929,809946
1930,799600
1931,87486
1932,710761
1933,547752
1934,51062
1935,691618
1936,126980
1937,682248
1938,150932
1939,658082
1940,239469
1941,96456
1942,568390
1943,454816
1944,208982
1945,373336
1946,661856
1947,32466
1948,434142
1949,14988
1950,832606
1951,118335
1952,857975
1953,164348
1954,422151
1955,522515
1956,963201
1957,289337
1958,872914
1959,593313
1960,818607
1961,676019
1962,392346
1963,239304
1964,679224
1965,823321
1966,999220
1967,799216
1968,148948
1969,264871
1970,64462
1971,969970
1972,64587
1973,625016
1974,709888
1975,408267
1976,62828
1977,869137
1978,439640
1979,391969
1980,282007
1981,969383
1982,383677
1983,753584
1984,711445
1985,945987
1986,599674
1987,608289
1988,874750
1989,51395
1990,822151
1991,824839
1992,393922
1993,118151
1994,939582
1995,310476
1996,802558
1997,751761
1998,62512
1999,236943
2000,836451
2001,122333
2002,826006
2003,569099
2004,827307
2005,50473
2006,214919
2007,797976
2008,620387
2009,122016
2010,378966
2011,670944
2012,741826
2013,402276
2014,822057
2015,552910
2016,156825
2017,873847
2018,627916
2019,333860
2020,338043
2021,950872
2022,219455
2023,887522
2024,784519
2025,497860
2026,174742
2027,999703
2028,387868
2029,654853
2030,779370
2031,888126
2032,839566
2033,340429
2034,42179
2035,862714
2036,622544
2037,531174
2038,175310
2039,597742
2040,647373
2041,142083
2042,528342
2043,624864
2044,609854
2045,527763
2046,877770
2047,443087
2048,162452
2049,969444
2050,30062
2051,202456
2052,616553
2053,686500
2054,822853
2055,412809
2056,719516
2057,174296
2058,447499
2059,219367
2060,695501
2061,93183
2062,913666
2063,969425
2064,647697
2065,713516
2066,763288
2067,129806
2068,541153
2069,989609
2070,932619
2071,272176
2072,88160
2073,22137
2074,525706
2075,419231
2076,996464
2077,68300
2078,389560
2079,283296
2080,66608
2081,625200
2082,624163
2083,28720
2084,569164
2085,913526
2086,162361
2087,961276
2088,791921
2089,46219
2090,797614
2091,19120
2092,537956
2093,910101
2094,949779
2095,159377
2096,371460
2097,707729
2098,431300
2099,81512
2100,610348
2101,384056
2102,882911
2103,900121
2104,606517
2105,88444
2106,222724
2107,769933
2108,808582
2109,69457
2110,858523
2111,74246
2112,338639
2113,885888
2114,398506
2115,250362
2116,448866
2117,420394
2118,374847
2119,637817
2120,513407
2121,151193
2122,572562
2123,9337
2124,428262
2125,103374
2126,637920
2127,327508
2128,40116
2129,682474
2130,716559
2131,348864
2132,299542
2133,941328
2134,484855
2135,154505
2136,159626
2137,235089
2138,483560
2139,569277
2140,889832
2141,503273
2142,172217
2143,255167
2144,944009
2145,83795
2146,337960
2147,661252
2148,958616
2149,249467
2150,486577
2151,627575
2152,83639
2153,919389
2154,782639
2155,567706
2156,36740
2157,938680
2158,307770
2159,257051
2160,290565
2161,284312
2162,256707
2163,148604
2164,596816
2165,945490
2166,363929
2167,453929
2168,452605
2169,622270
2170,661193
2171,883659
2172,968812
2173,152663
2174,552420
2175,312499
2176,840650
2177,608568
2178,765100
2179,872345
2180,344462
2181,808481
2182,613192
2183,408129
2184,31933
2185,615233
2186,376980
2187,473688
2188,452135
2189,598311
2190,437791
2191,584231
2192,790224
2193,885640
2194,814549
2195,717556
2196,237781
2197,652449
2198,537969
2199,116431
2200,532366
2201,535639
2202,392344
2203,870645
2204,129399
2205,970417
2206,193968
2207,511569
2208,669839
2209,621680
2210,485067
2211,484327
2212,933742
2213,758695
2214,950084
2215,400145
2216,575030
2217,722707
2218,814838
2219,901333
2220,380847
2221,517548
2222,946904
2223,358126
2224,89847
2225,163173
2226,302396
2227,602417
2228,330520
2229,118704
2230,408512
2231,134679
2232,880437
2233,295919
2234,974076
2235,857251
2236,825352
2237,260576
2238,592668
2239,242767
2240,119029
2241,594049
2242,236482
2243,511455
2244,329415
2245,857670
2246,980013
2247,900578
2248,915765
2249,528203
2250,793011
2251,670491
2252,96874
2253,664265
2254,3705
2255,106705
2256,185948
2257,307343
2258,57603
2259,418875
2260,725516
2261,172170
2262,600507
2263,917673
2264,403796
2265,908385
2266,287585
2267,668282
2268,479510
2269,103104
2270,347962
2271,585499
2272,621036
2273,420442
2274,712064
2275,792554
2276,231822
2277,845436
2278,190692
2279,930812
2280,916614
2281,738569
2282,749939
2283,731175
2284,773800
2285,167080
2286,35083
2287,309011
2288,970905
2289,275417
2290,2585
2291,384581
2292,358579
2293,247685
2294,341851
2295,79017
2296,604637
2297,613249
2298,67591
2299,674283
2300,249499
2301,499434
2302,228565
2303,38105
2304,475327
2305,534023
2306,361122
2307,885343
2308,622648
2309,719033
2310,175032
2311,307395
2312,758796
2313,327455
2314,293506
2315,209576
2316,128949
2317,539806
2318,28012
2319,573974
2320,812911
2321,108619
2322,642832
2323,353007
2324,321907
2325,127572
2326,901974
2327,990665
2328,670447
2329,94338
2330,803960
2331,458574
2332,529583
2333,3639
2334,540194
2335,502616
2336,855390
2337,142308
2338,983709
2339,150464
2340,619456
2341,767455
2342,168545
2343,554954
2344,103206
2345,678185
2346,654027
2347,131815
2348,392546
2349,939175
2350,775949
2351,993100
2352,435875
2353,857216
2354,77342
2355,102982
2356,411335
2357,297952
2358,894195
2359,514333
2360,177287
2361,794409
2362,853847
2363,412946
2364,388326
2365,962664
2366,801185
2367,878345
2368,933416
2369,764334
2370,971511
2371,522395
2372,274069
2373,320078
2374,654342
2375,283669
2376,381382
2377,745042
2378,734992
2379,898776
2380,888047
2381,759332
2382,843172
2383,790779
2384,209745
2385,241404
2386,155852
2387,840719
2388,43222
2389,361941
2390,815657
2391,873290
2392,759596
2393,775729
2394,864363
2395,95758
2396,887702
2397,633414
2398,733338
2399,23958
2400,781776
2401,536374
2402,681198
2403,676209
2404,597264
2405,734825
2406,933193
2407,524857
2408,768325
2409,749764
2410,796245
2411,935900
2412,341647
2413,286109
2414,356958
2415,708394
2416,435502
2417,85497
2418,98303
2419,655886
2420,68987
2421,251535
2422,152616
2423,447628
2424,136589
2425,200218
2426,237900
2427,410330
2428,909271
2429,886374
2430,759741
2431,557485
2432,917117
2433,831668
2434,785938
2435,381482
2436,768234
2437,820545
2438,711788
2439,694350
2440,406460
2441,411780
2442,701909
2443,437963
2444,466841
2445,352664
2446,835671
2447,1563
2448,176062
2449,355282
2450,675649
2451,980058
2452,982056
2453,31400
2454,680234
2455,450895
2456,219930
2457,651500
2458,2072
2459,139539
2460,189825
2461,244982
2462,819327
2463,227914
2464,868014
2465,134154
2466,946934
2467,987196
2468,443787
2469,856109
2470,324412
2471,49648
2472,35393
2473,734119
2474,668592
2475,773757
2476,314623
2477,328033
2478,446809
2479,626973
2480,524494
2481,467357
2482,737800
2483,483472
2484,401518
2485,689620
2486,836958
2487,398768
2488,294066
2489,32087
2490,112842
2491,431310
2492,920686
2493,652049
2494,211084
2495,354371
2496,583836
2497,675148
